 log g Teff  log Z Vel   g(CBBED)
 log g Teff  log Z Vel   h(CBBED)
 log g Teff  log Z Vel  xi(CBBED)
 0.00  3500. -5.0  2.0   0.6592
 0.00  3500. -5.0  2.0   0.8006
 0.00  3500. -5.0  2.0   0.0003
 0.50  3500. -5.0  2.0   0.6645
 0.50  3500. -5.0  2.0   0.7220
 0.50  3500. -5.0  2.0   0.0006
 1.00  3500. -5.0  2.0   0.6806
 1.00  3500. -5.0  2.0   0.5966
 1.00  3500. -5.0  2.0   0.0015
 1.50  3500. -5.0  2.0   0.7055
 1.50  3500. -5.0  2.0   0.5005
 1.50  3500. -5.0  2.0   0.0028
 2.00  3500. -5.0  2.0   0.7221
 2.00  3500. -5.0  2.0   0.4629
 2.00  3500. -5.0  2.0   0.0038
 2.50  3500. -5.0  2.0   0.7221
 2.50  3500. -5.0  2.0   0.4710
 2.50  3500. -5.0  2.0   0.0045
 3.00  3500. -5.0  2.0   0.7023
 3.00  3500. -5.0  2.0   0.5211
 3.00  3500. -5.0  2.0   0.0053
 0.00  3750. -5.0  2.0   0.6571
 0.00  3750. -5.0  2.0   0.7693
 0.00  3750. -5.0  2.0   0.0002
 0.50  3750. -5.0  2.0   0.6623
 0.50  3750. -5.0  2.0   0.7156
 0.50  3750. -5.0  2.0   0.0004
 1.00  3750. -5.0  2.0   0.6622
 1.00  3750. -5.0  2.0   0.6538
 1.00  3750. -5.0  2.0   0.0003
 1.50  3750. -5.0  2.0   0.6803
 1.50  3750. -5.0  2.0   0.5263
 1.50  3750. -5.0  2.0   0.0007
 2.00  3750. -5.0  2.0   0.7463
 2.00  3750. -5.0  2.0   0.3765
 2.00  3750. -5.0  2.0   0.0021
 2.50  3750. -5.0  2.0   0.8374
 2.50  3750. -5.0  2.0   0.2884
 2.50  3750. -5.0  2.0   0.0038
 3.00  3750. -5.0  2.0   0.8909
 3.00  3750. -5.0  2.0   0.2655
 3.00  3750. -5.0  2.0   0.0073
 0.00  4000. -5.0  2.0   0.6496
 0.00  4000. -5.0  2.0   0.7612
 0.00  4000. -5.0  2.0   0.0003
 0.50  4000. -5.0  2.0   0.6549
 0.50  4000. -5.0  2.0   0.7042
 0.50  4000. -5.0  2.0   0.0003
 1.00  4000. -5.0  2.0   0.6644
 1.00  4000. -5.0  2.0   0.6384
 1.00  4000. -5.0  2.0   0.0007
 1.50  4000. -5.0  2.0   0.6780
 1.50  4000. -5.0  2.0   0.5697
 1.50  4000. -5.0  2.0   0.0014
 2.00  4000. -5.0  2.0   0.6747
 2.00  4000. -5.0  2.0   0.4968
 2.00  4000. -5.0  2.0   0.0004
 2.50  4000. -5.0  2.0   0.7477
 2.50  4000. -5.0  2.0   0.3415
 2.50  4000. -5.0  2.0   0.0007
 3.00  4000. -5.0  2.0   0.9678
 3.00  4000. -5.0  2.0   0.2048
 3.00  4000. -5.0  2.0   0.0018
 3.50  4000. -5.0  2.0   1.4346
 3.50  4000. -5.0  2.0   0.1190
 3.50  4000. -5.0  2.0   0.0054
 0.00  4250. -5.0  2.0   0.6421
 0.00  4250. -5.0  2.0   0.7576
 0.00  4250. -5.0  2.0   0.0004
 0.50  4250. -5.0  2.0   0.6468
 0.50  4250. -5.0  2.0   0.7042
 0.50  4250. -5.0  2.0   0.0003
