# NEA PSCompPars snapshot, regenerated 2026-05-13 00:30 UTC
# Source: NASA Exoplanet Archive Composite Parameters (DOI: 10.26133/NEA13)
# Count: 6286 planets
# Columns: pl_name | hostname | st_teff | st_logg | st_met (tab-separated)
# Used by sco-ldc as a fallback when the live NEA fetch fails.
11 Com b	11 Com	4874.0	2.45	-0.26
11 UMi b	11 UMi	4213.0	1.93	-0.02
14 And b	14 And	4888.0	2.55	-0.21
14 Her b	14 Her	5338.0	4.45	0.43
16 Cyg B b	16 Cyg B	5750.0	4.36	0.06
17 Sco b	17 Sco	4157.0	1.7	-0.01
18 Del b	18 Del	4980.0	2.87	-0.06
1RXS J160929.1-210524 b	1RXS J160929.1-210524	4060.0	3.99592	
24 Boo b	24 Boo	4816.0	2.28	-0.78
24 Sex b	24 Sex	5098.0	3.5	-0.03
24 Sex c	24 Sex	5098.0	3.5	-0.03
2M0437 b	2MASS J04372171+2651014	3100.0	4.5	0.01
2MASS J01033563-5515561 AB b	2MASS J01033563-5515561 A			
2MASS J01225093-2439505 b	2MASS J01225093-2439505	3530.0	4.85804	
2MASS J02192210-3925225 b	2MASS J02192210-3925225	3064.0	4.59	
2MASS J0249-0557 c	2MASS J0249-0557 A	2859.0	4.90849	
2MASS J03590986+2009361 b	2MASS J03590986+2009361	2943.0	4.93718	
2MASS J04414489+2301513 b	2MASS J04414489+2301513	2936.0	5.01181	
2MASS J11011926-7732383 b	2MASS J11011926-7732383			
2MASS J11550485-7919108 b	2MASS J11550485-7919108	3021.0	4.65082	
2MASS J12073346-3932539 b	2MASS J12073346-3932539	2825.0	5.03186	
2MASS J19383260+4603591 b	2MASS J19383260+4603591	29564.0	5.508	-0.092
2MASS J21252752-8138278 b	2MASS J21252752-8138278	3592.0	4.59112	
2MASS J22362452+4751425 b	2MASS J22362452+4751425	4045.0	4.62349	
2MASS J22501512+2325342 b	2MASS J22501512+2325342	3352.0	4.7926	
4 UMa b	4 UMa	4415.0	1.8	-0.25
47 UMa b	47 UMa	5872.0	4.29541	0.04
47 UMa c	47 UMa	5872.0	4.29541	0.04
47 UMa d	47 UMa	5872.0	4.29541	0.04
51 Eri b	51 Eri	7422.0	4.31078	0.13
51 Peg b	51 Peg	5758.0	4.31038	0.18
55 Cnc B b	55 Cnc B	3286.0	4.86	0.16
55 Cnc B c	55 Cnc B	3286.0	4.86	0.16
55 Cnc b	55 Cnc	5198.0	4.3	0.39
55 Cnc c	55 Cnc	5198.0	4.3	0.39
55 Cnc d	55 Cnc	5198.0	4.3	0.39
55 Cnc e	55 Cnc	5172.0	4.43	0.35
55 Cnc f	55 Cnc	5198.0	4.3	0.39
6 Lyn b	6 Lyn	4941.0	3.16	-0.17
61 Vir b	61 Vir	5577.0	4.34	-0.01
61 Vir c	61 Vir	5577.0	4.34	-0.01
61 Vir d	61 Vir	5577.0	4.34	-0.01
7 CMa b	7 CMa	4826.0	3.19	0.21
7 CMa c	7 CMa	4826.0	3.19	0.21
70 Vir b	70 Vir	5495.0	3.95	-0.09
75 Cet b	75 Cet	4809.0	2.69	0.1
75 Cet c	75 Cet	4809.0	2.69	0.1
8 UMi b	8 UMi	4847.0	2.57	-0.03
81 Cet b	81 Cet	4734.0	2.41	-0.11
91 Aqr b	91 Aqr	4665.0	2.52	-0.03
AB Aur b	AB Aur	9770.0	3.77411	
AB Pic b	AB Pic	5285.0	4.53	0.04
